                                                 INSTNM    OPEID  REGION  SAT_AVG_ALL  PCTPELL  PCTFLOAN  ADM_RATE_ALL       UG  AVGFACSAL   COMPL_RPY_5YR_RT           DEBT_MDN  MEDIAN_HH_INC  \
189               Georgia Southwestern State University   157300       5        967.0    0.462     0.590         0.716   1981.0     5878.0        0.720496894            12993.5       49591.36   
190                Georgia College and State University   160200       5       1143.0    0.203     0.454         0.757   3976.0     6576.0        0.809466019            16338.5       68382.02   
191                         Georgia Southern University   157200       5       1089.0    0.380     0.620         0.602  12648.0     6549.0        0.695224207              17000       62772.56   
192                            Georgia State University   157400       5       1056.0    0.527     0.582         0.566  16444.0     8580.0        0.616204691              16750       72190.32   
193                               University of Georgia   159800       5       1252.0    0.229     0.380         0.529  24213.0    10676.0        0.780479085              17250       71225.06   
194                                Gordon State College   157500       5        851.0    0.550     0.556         0.567   2890.0     5229.0        0.618705036               8250       63654.05   
195                                    LaGrange College   157800       5       1012.0    0.441     0.781         0.573    876.0     5956.0               0.75              14250       61341.56   
196                                   Mercer University   158000       5       1217.0    0.347     0.541         0.669   2156.0     8118.0          0.6734375              20457       67164.94   
197                                   Morehouse College   158200       5        978.0    0.493     0.707         0.760   2970.0     7247.0        0.518867925              21691       61675.05   
198                               Oglethorpe University   158600       5       1140.0    0.394     0.738         0.785   1169.0     6568.0        0.705583756              16000       73815.08   
199                                       Paine College   158700       5        749.0    0.799     0.876         0.306    163.0     4880.0        0.275510204              14250       51038.61   
200                                    Piedmont College   158800       5        995.0    0.474     0.700         0.570   1026.0     6172.0                0.6            15591.5       58219.12   
201                                Reinhardt University   158900       5        953.0    0.430     0.586         0.908   1108.0     5448.0  PrivacySuppressed              10150       75577.26   
202                  Savannah College of Art and Design  2141500       5       1064.0    0.247     0.475         0.699   4249.0     8676.0        0.679523539              21000       71588.69   
203                           Savannah State University   159000       5        847.0    0.745     0.834         0.826   2070.0     5428.0        0.321814255              14250       54220.88   
204                                  Shorter University   159100       5        969.0    0.474     0.666         0.626   1889.0     5144.0                0.6              21517       65365.08   
205                                     Spelman College   159400       5       1015.0    0.481     0.710         0.483   1888.0     7678.0        0.678240741              25250       63157.84   
206                                Toccoa Falls College   159600       5        997.0    0.486     0.611         0.455    900.0     5182.0        0.880733945              13875       59357.86   
207                         Truett McConnell University   159700       5        938.0    0.218     0.258         0.911   2033.0     3837.0        0.709090909              12000       62186.38   
208                           Valdosta State University   159900       5        993.0    0.471     0.652         0.504   7482.0     6073.0        0.658204896              16500       57353.47   
209                          University of West Georgia   160100       5        945.0    0.494     0.663         0.569   7109.0     6125.0        0.622903412              13525       66454.08   
210                                Young Harris College   160400       5        974.0    0.390     0.600         0.522    620.0     6079.0        0.852941177              12000       65588.30   
211                    Chaminade University of Honolulu   160500       8        966.0    0.436     0.405         0.820   2038.0     7789.0        0.686619718              12917       72476.63   
212                        University of Hawaii at Hilo   161100       8        926.0    0.484     0.459         0.713   2646.0     9277.0        0.743434343              12350       59308.27   
213                       University of Hawaii at Manoa   161000       8       1067.0    0.310     0.379         0.814  11721.0    11189.0        0.849573691              13750       71646.27   
214                                 Boise Bible College  2234500       7       1045.0    0.659     0.457         0.981    128.0     4224.0        0.617647059            17395.5       55318.91   
215                              Boise State University   161600       7       1046.0    0.331     0.438         0.796  14756.0     7272.0        0.721539722              15250       58298.66   
216                                 University of Idaho   162600       7       1061.0    0.393     0.526         0.721   8759.0     8410.0         0.80159787              16985       54125.14   
217                           Lewis-Clark State College   162100       7        939.0    0.353     0.439         0.989   2693.0     5742.0        0.831683168              11726       49266.88   
218                       Northwest Nazarene University   162400       7       1056.0    0.354     0.618         0.563   1110.0     5434.0        0.894736842              19500       59470.41   
219                      Brigham Young University-Idaho   162500       7       1040.0    0.397     0.265         0.996   8949.0     8444.0        0.866557511             6604.5       58959.59   
220              School of the Art Institute of Chicago   175300       3       1155.0    0.188     0.415         0.665   2053.0     9648.0        0.755447942              19500       72806.39   
221                                   Aurora University   163400       3        990.0    0.416     0.699         0.772   1316.0     7505.0         0.80445151            15775.5       77796.79   
222                                   Blackburn College   163900       3       1005.0    0.568     0.814         0.555    540.0     5872.0        0.788819876              12000       56165.33   
223                                  Bradley University   164100       3       1163.0    0.235     0.661         0.657   5116.0     8299.0        0.883677298              24031       74072.54   
224                            Chicago State University   169400       3        875.0    0.708     0.923         0.212   5060.0     7392.0        0.432126697              20250       51518.57   
225                               University of Chicago   177400       3       1506.0    0.111     0.254         0.084   4008.0    17446.0        0.929501085              13170       74573.19   
226                        Concordia University-Chicago   166600       3       1047.0    0.426     0.761         0.503   1280.0     4155.0        0.837837838              17750       68556.46   
